Column,dtype
dot_url,float32
hyphe_url,float32
underline_url,float32
bar_url,float32
question_url,float32
equal_url,float32
arroba_url,float32
ampersand_url,float32
exclamation_url,float32
blank_url,float32
til_url,float32
comma_url,float32
plus_url,float32
asterisk_url,float32
hashtag_url,float32
money_sign_url,float32
percentage_url,float32
count_tld_url,float32
len_url,float32
alpha_url,float32
timeresponse_url,float32
time_domain_activation_url,float32
time_domain_expiration_url,float32
Hasshortner_URL,bool
dot_host,float32
hyphe_host,float32
underline_host,float32
bar_host,float32
question_host,float32
equal_host,float32
arroba_host,float32
ampersand_host,float32
exclamation_host,float32
blank_host,float32
til_host,float32
comma_host,float32
plus_host,float32
asterisk_host,float32
hashtag_host,float32
money_sign_host,float32
percentage_host,float32
vowels_host,float32
len_host,float32
ip_exist,bool
server_client,bool
dot_path,float32
hyphe_path,float32
underline_path,float32
bar_path,float32
question_path,float32
equal_path,float32
arroba_path,float32
ampersand_path,float32
exclamation_path,float32
blank_path,float32
til_path,float32
comma_path,float32
plus_path,float32
asterisk_path,float32
hashtag_path,float32
money_sign_path,float32
percentage_path,float32
len_path,float32
dot_file,float32
hyphe_file,float32
underline_file,float32
bar_file,float32
question_file,float32
equal_file,float32
arroba_file,float32
ampersand_file,float32
exclamation_file,float32
blank_file,float32
til_file,float32
comma_file,float32
plus_file,float32
asterisk_file,float32
hashtag_file,float32
money_sign_file,float32
percentage_file,float32
len_file,float32
dot_params,float32
hyphe_params,float32
underline_params,float32
bar_params,float32
question_params,float32
equal_params,float32
arroba_params,float32
ampersand_params,float32
exclamation_params,float32
blank_params,float32
til_params,float32
comma_params,float32
plus_params,float32
asterisk_params,float32
hashtag_params,float32
money_sign_params,float32
percentage_params,float32
len_params,float32
number_params,float32
email_exist,bool
